RESULTADOS - Estrategia de Probabilidad Dinámica
==================================================

Capital inicial: $1,000.00
Capital final: $4,780,101.02
Retorno total: 477910.10%
Retorno mensual estimado: 477910.10%
Total trades: 294
Win rate: 40.14%
Máximo drawdown: 50.54%

Distribución por tipo de señal:
Tipo D: 91 trades | 39.6% win rate | 8944.20% avg PnL
Tipo B: 34 trades | 41.2% win rate | 9370.29% avg PnL
Tipo C: 35 trades | 40.0% win rate | 9126.17% avg PnL
Tipo A: 134 trades | 40.3% win rate | 8978.57% avg PnL

Objetivo 10% mensual: ALCANZADO
Objetivo 15% mensual: ALCANZADO
Superación del objetivo: 47791.0x

==================================================
DETALLE DE TRADES:
==================================================
  1. BTC-USD | Tipo D | Entry: $47842.77 | Exit: $3061.94 | PnL: -93.60% | Razón: SL
  2. ETH-USD | Tipo D | Entry: $3061.94 | Exit: $382.74 | PnL: -87.50% | Razón: SL
  3. BNB-USD | Tipo D | Entry: $382.74 | Exit: $1.15 | PnL: -99.70% | Razón: SL
  4. ADA-USD | Tipo D | Entry: $1.15 | Exit: $143.53 | PnL: 12400.00% | Razón: TP
  5. SOL-USD | Tipo D | Entry: $143.53 | Exit: $46938.89 | PnL: 32603.58% | Razón: TP
  6. BTC-USD | Tipo D | Entry: $46938.89 | Exit: $3004.09 | PnL: -93.60% | Razón: SL
  7. ETH-USD | Tipo D | Entry: $3004.09 | Exit: $375.51 | PnL: -87.50% | Razón: SL
  8. BNB-USD | Tipo D | Entry: $375.51 | Exit: $1.13 | PnL: -99.70% | Razón: SL
  9. ADA-USD | Tipo D | Entry: $1.13 | Exit: $140.82 | PnL: 12400.00% | Razón: TP
 10. SOL-USD | Tipo D | Entry: $140.82 | Exit: $46609.30 | PnL: 32999.27% | Razón: TP
 11. BTC-USD | Tipo B | Entry: $46609.30 | Exit: $2983.00 | PnL: -93.60% | Razón: SL
 12. ETH-USD | Tipo B | Entry: $2983.00 | Exit: $372.87 | PnL: -87.50% | Razón: SL
 13. BNB-USD | Tipo B | Entry: $372.87 | Exit: $1.12 | PnL: -99.70% | Razón: SL
