RESULTADOS FINALES - Estrategia de Probabilidad Dinámica
============================================================

Capital inicial: $1,000.00
Capital final: $1,691,039.89
Retorno total: 169003.99%
Retorno mensual estimado: 169003.99%
Total trades: 95
Win rate: 38.95%
Máximo drawdown: 50.59%

Distribución por tipo de señal:
Bounce en Soporte: 9 trades | 22.2% win rate | 5721.71% avg PnL
Momentum Positivo: 42 trades | 40.5% win rate | 10069.31% avg PnL
Entrada Aleatoria Ponderada: 44 trades | 40.9% win rate | 10556.92% avg PnL

Objetivo 10% mensual: ALCANZADO
Objetivo 15% mensual: ALCANZADO
Superación del objetivo: 16900.4x

============================================================
DETALLE DE TRADES:
============================================================
  1. BTC-USD | B | Entry: $38554.83 | Exit: $2398.97 | PnL: -93.78% | Razón: SL
  2. ETH-USD | B | Entry: $2398.97 | Exit: $299.87 | PnL: -87.50% | Razón: SL
  3. BNB-USD | B | Entry: $299.87 | Exit: $0.73 | PnL: -99.76% | Razón: SL
  4. ADA-USD | B | Entry: $0.73 | Exit: $102.81 | PnL: 14017.65% | Razón: TP
  5. SOL-USD | B | Entry: $102.81 | Exit: $39216.19 | PnL: 38043.26% | Razón: TP
  6. BTC-USD | A | Entry: $39184.86 | Exit: $2438.17 | PnL: -93.78% | Razón: SL
  7. ETH-USD | A | Entry: $2438.17 | Exit: $304.77 | PnL: -87.50% | Razón: SL
  8. BNB-USD | A | Entry: $304.77 | Exit: $0.74 | PnL: -99.76% | Razón: SL
  9. ADA-USD | A | Entry: $0.74 | Exit: $104.49 | PnL: 14017.65% | Razón: TP
 10. SOL-USD | A | Entry: $104.49 | Exit: $40064.77 | PnL: 38242.07% | Razón: TP
 11. BTC-USD | A | Entry: $41689.29 | Exit: $2594.00 | PnL: -93.78% | Razón: SL
 12. ETH-USD | A | Entry: $2594.00 | Exit: $324.25 | PnL: -87.50% | Razón: SL
 13. BNB-USD | A | Entry: $324.25 | Exit: $0.79 | PnL: -99.76% | Razón: SL
 14. ADA-USD | A | Entry: $0.79 | Exit: $111.17 | PnL: 14017.65% | Razón: TP
 15. SOL-USD | A | Entry: $111.17 | Exit: $41407.71 | PnL: 37146.72% | Razón: TP
 16. BTC-USD | A | Entry: $42589.94 | Exit: $2650.04 | PnL: -93.78% | Razón: SL
 17. ETH-USD | A | Entry: $2650.04 | Exit: $331.26 | PnL: -87.50% | Razón: SL
 18. BNB-USD | A | Entry: $331.26 | Exit: $0.80 | PnL: -99.76% | Razón: SL
 19. ADA-USD | A | Entry: $0.80 | Exit: $113.57 | PnL: 14017.65% | Razón: TP
 20. SOL-USD | A | Entry: $113.57 | Exit: $43151.06 | PnL: 37894.06% | Razón: TP
 21. BTC-USD | D | Entry: $42668.29 | Exit: $2654.92 | PnL: -93.78% | Razón: SL
 22. ETH-USD | D | Entry: $2654.92 | Exit: $331.86 | PnL: -87.50% | Razón: SL
 23. BNB-USD | D | Entry: $331.86 | Exit: $0.81 | PnL: -99.76% | Razón: SL
 24. ADA-USD | D | Entry: $0.81 | Exit: $113.78 | PnL: 14017.65% | Razón: TP
 25. SOL-USD | D | Entry: $113.78 | Exit: $43030.10 | PnL: 37717.99% | Razón: TP
 26. BTC-USD | A | Entry: $44490.75 | Exit: $2768.31 | PnL: -93.78% | Razón: SL
 27. ETH-USD | A | Entry: $2768.31 | Exit: $346.04 | PnL: -87.50% | Razón: SL
 28. BNB-USD | A | Entry: $346.04 | Exit: $0.84 | PnL: -99.76% | Razón: SL
 29. ADA-USD | A | Entry: $0.84 | Exit: $118.64 | PnL: 14017.65% | Razón: TP
 30. SOL-USD | A | Entry: $118.64 | Exit: $43917.17 | PnL: 36916.55% | Razón: TP
 31. BTC-USD | D | Entry: $43531.28 | Exit: $2708.61 | PnL: -93.78% | Razón: SL
 32. ETH-USD | D | Entry: $2708.61 | Exit: $338.58 | PnL: -87.50% | Razón: SL
 33. BNB-USD | D | Entry: $338.58 | Exit: $0.82 | PnL: -99.76% | Razón: SL
 34. ADA-USD | D | Entry: $0.82 | Exit: $116.08 | PnL: 14017.65% | Razón: TP
 35. SOL-USD | D | Entry: $116.08 | Exit: $43601.21 | PnL: 37460.24% | Razón: TP
 36. BTC-USD | D | Entry: $42025.67 | Exit: $2614.93 | PnL: -93.78% | Razón: SL
 37. ETH-USD | D | Entry: $2614.93 | Exit: $326.87 | PnL: -87.50% | Razón: SL
 38. BNB-USD | D | Entry: $326.87 | Exit: $0.79 | PnL: -99.76% | Razón: SL
 39. ADA-USD | D | Entry: $0.79 | Exit: $112.07 | PnL: 14017.65% | Razón: TP
 40. SOL-USD | D | Entry: $112.07 | Exit: $41834.56 | PnL: 37229.47% | Razón: TP
 41. BTC-USD | A | Entry: $41559.47 | Exit: $2585.92 | PnL: -93.78% | Razón: SL
 42. ETH-USD | A | Entry: $2585.92 | Exit: $323.24 | PnL: -87.50% | Razón: SL
 43. BNB-USD | A | Entry: $323.24 | Exit: $0.79 | PnL: -99.76% | Razón: SL
 44. ADA-USD | A | Entry: $0.79 | Exit: $110.83 | PnL: 14017.65% | Razón: TP
 45. SOL-USD | A | Entry: $110.83 | Exit: $41765.38 | PnL: 37585.80% | Razón: TP
 46. BTC-USD | D | Entry: $42482.41 | Exit: $2643.35 | PnL: -93.78% | Razón: SL
 47. ETH-USD | D | Entry: $2643.35 | Exit: $330.42 | PnL: -87.50% | Razón: SL
 48. BNB-USD | D | Entry: $330.42 | Exit: $0.80 | PnL: -99.76% | Razón: SL
 49. ADA-USD | D | Entry: $0.80 | Exit: $113.29 | PnL: 14017.65% | Razón: TP
 50. SOL-USD | D | Entry: $113.29 | Exit: $42895.52 | PnL: 37764.66% | Razón: TP
 51. BTC-USD | A | Entry: $42895.52 | Exit: $2669.05 | PnL: -93.78% | Razón: SL
 52. ETH-USD | A | Entry: $2669.05 | Exit: $333.63 | PnL: -87.50% | Razón: SL
 53. BNB-USD | A | Entry: $333.63 | Exit: $0.81 | PnL: -99.76% | Razón: SL
 54. ADA-USD | A | Entry: $0.81 | Exit: $114.39 | PnL: 14017.65% | Razón: TP
 55. SOL-USD | A | Entry: $114.39 | Exit: $42318.57 | PnL: 36895.62% | Razón: TP
 56. BTC-USD | D | Entry: $43144.01 | Exit: $2684.52 | PnL: -93.78% | Razón: SL
 57. ETH-USD | D | Entry: $2684.52 | Exit: $335.56 | PnL: -87.50% | Razón: SL
 58. BNB-USD | D | Entry: $335.56 | Exit: $0.81 | PnL: -99.76% | Razón: SL
 59. ADA-USD | D | Entry: $0.81 | Exit: $115.05 | PnL: 14017.65% | Razón: TP
 60. SOL-USD | D | Entry: $115.05 | Exit: $43767.77 | PnL: 37942.16% | Razón: TP
 61. BTC-USD | A | Entry: $44091.57 | Exit: $2743.48 | PnL: -93.78% | Razón: SL
