2025-10-16 18:35:57 | INFO | sicar.breakouts | 📈 BREAKOUT DETECTADO: ETHUSDT
2025-10-16 18:35:57 | INFO | sicar.breakouts |    Tipo: bullish
2025-10-16 18:35:57 | INFO | sicar.breakouts |    Confianza: 85.00%
2025-10-16 18:35:57 | INFO | sicar.breakouts |    Precio: $2150.5000
2025-10-16 18:35:57 | INFO | sicar.breakouts |    Volumen: 1,500,000
2025-10-16 18:36:01 | INFO | sicar.breakouts | 📈 BREAKOUT DETECTADO: ETHUSDT
2025-10-16 18:36:01 | INFO | sicar.breakouts |    Tipo: N/A
2025-10-16 18:36:01 | INFO | sicar.breakouts |    Confianza: 85.00%
2025-10-16 18:36:01 | INFO | sicar.breakouts |    Precio: $2150.5000
2025-10-16 18:36:01 | INFO | sicar.breakouts |    Volumen: 1,500,000
2025-10-17 04:02:04 | INFO | sicar.breakouts | 📈 BREAKOUT DETECTADO: ETHUSDT
2025-10-17 04:02:04 | INFO | sicar.breakouts |    Tipo: bullish
2025-10-17 04:02:04 | INFO | sicar.breakouts |    Confianza: 85.00%
2025-10-17 04:02:04 | INFO | sicar.breakouts |    Precio: $2150.5000
2025-10-17 04:02:04 | INFO | sicar.breakouts |    Volumen: 1,500,000
2025-10-17 04:02:08 | INFO | sicar.breakouts | 📈 BREAKOUT DETECTADO: ETHUSDT
2025-10-17 04:02:08 | INFO | sicar.breakouts |    Tipo: N/A
2025-10-17 04:02:08 | INFO | sicar.breakouts |    Confianza: 85.00%
2025-10-17 04:02:08 | INFO | sicar.breakouts |    Precio: $2150.5000
2025-10-17 04:02:08 | INFO | sicar.breakouts |    Volumen: 1,500,000
2025-10-17 08:30:27 | INFO | sicar.breakouts | 📈 BREAKOUT DETECTADO: ETHUSDT
2025-10-17 08:30:27 | INFO | sicar.breakouts |    Tipo: N/A
2025-10-17 08:30:27 | INFO | sicar.breakouts |    Confianza: 6000.00%
2025-10-17 08:30:27 | INFO | sicar.breakouts |    Precio: $2047.0192
2025-10-17 08:30:27 | INFO | sicar.breakouts |    Volumen: 1,391,030
2025-10-17 08:30:28 | INFO | sicar.breakouts | 📈 BREAKOUT DETECTADO: BTCUSDT
2025-10-17 08:30:28 | INFO | sicar.breakouts |    Tipo: N/A
2025-10-17 08:30:28 | INFO | sicar.breakouts |    Confianza: 6000.00%
2025-10-17 08:30:28 | INFO | sicar.breakouts |    Precio: $1984.0776
2025-10-17 08:30:28 | INFO | sicar.breakouts |    Volumen: 1,243,027
2025-10-17 08:30:28 | INFO | sicar.breakouts | 📈 BREAKOUT DETECTADO: ADAUSDT
2025-10-17 08:30:28 | INFO | sicar.breakouts |    Tipo: N/A
2025-10-17 08:30:28 | INFO | sicar.breakouts |    Confianza: 6000.00%
2025-10-17 08:30:28 | INFO | sicar.breakouts |    Precio: $1994.2013
2025-10-17 08:30:28 | INFO | sicar.breakouts |    Volumen: 1,899,110
2025-10-17 09:21:28 | INFO | sicar.breakouts | 📈 BREAKOUT DETECTADO: ADAUSDT
2025-10-17 09:21:28 | INFO | sicar.breakouts |    Tipo: N/A
2025-10-17 09:21:28 | INFO | sicar.breakouts |    Confianza: 58.85%
2025-10-17 09:21:28 | INFO | sicar.breakouts |    Precio: $2026.3465
2025-10-17 09:21:28 | INFO | sicar.breakouts |    Volumen: 2,508,297
2025-10-17 09:47:59 | INFO | sicar.breakouts | 📈 BREAKOUT DETECTADO: BTCUSDT
2025-10-17 09:47:59 | INFO | sicar.breakouts |    Tipo: N/A
2025-10-17 09:47:59 | INFO | sicar.breakouts |    Confianza: 62.86%
2025-10-17 09:47:59 | INFO | sicar.breakouts |    Precio: $1979.0884
2025-10-17 09:47:59 | INFO | sicar.breakouts |    Volumen: 2,805,995
2025-10-17 09:50:29 | INFO | sicar.breakouts | 📈 BREAKOUT DETECTADO: ADAUSDT
2025-10-17 09:50:29 | INFO | sicar.breakouts |    Tipo: N/A
2025-10-17 09:50:29 | INFO | sicar.breakouts |    Confianza: 68.32%
2025-10-17 09:50:29 | INFO | sicar.breakouts |    Precio: $2014.0646
2025-10-17 09:50:29 | INFO | sicar.breakouts |    Volumen: 2,699,065
2025-10-17 09:55:00 | INFO | sicar.breakouts | 📈 BREAKOUT DETECTADO: ADAUSDT
2025-10-17 09:55:00 | INFO | sicar.breakouts |    Tipo: N/A
2025-10-17 09:55:00 | INFO | sicar.breakouts |    Confianza: 58.73%
2025-10-17 09:55:00 | INFO | sicar.breakouts |    Precio: $2021.7107
2025-10-17 09:55:00 | INFO | sicar.breakouts |    Volumen: 2,987,330
2025-10-17 10:11:01 | INFO | sicar.breakouts | 📈 BREAKOUT DETECTADO: ETHUSDT
2025-10-17 10:11:01 | INFO | sicar.breakouts |    Tipo: N/A
2025-10-17 10:11:01 | INFO | sicar.breakouts |    Confianza: 50.76%
2025-10-17 10:11:01 | INFO | sicar.breakouts |    Precio: $1921.9805
2025-10-17 10:11:01 | INFO | sicar.breakouts |    Volumen: 2,669,768
2025-10-17 10:16:01 | INFO | sicar.breakouts | 📈 BREAKOUT DETECTADO: BTCUSDT
2025-10-17 10:16:01 | INFO | sicar.breakouts |    Tipo: N/A
2025-10-17 10:16:01 | INFO | sicar.breakouts |    Confianza: 56.12%
2025-10-17 10:16:01 | INFO | sicar.breakouts |    Precio: $2026.6288
2025-10-17 10:16:01 | INFO | sicar.breakouts |    Volumen: 2,878,508
2025-10-17 10:16:31 | INFO | sicar.breakouts | 📈 BREAKOUT DETECTADO: ETHUSDT
2025-10-17 10:16:31 | INFO | sicar.breakouts |    Tipo: N/A
2025-10-17 10:16:31 | INFO | sicar.breakouts |    Confianza: 71.77%
2025-10-17 10:16:31 | INFO | sicar.breakouts |    Precio: $1915.6694
2025-10-17 10:16:31 | INFO | sicar.breakouts |    Volumen: 2,667,444
2025-10-17 10:22:32 | INFO | sicar.breakouts | 📈 BREAKOUT DETECTADO: ETHUSDT
2025-10-17 10:22:32 | INFO | sicar.breakouts |    Tipo: N/A
2025-10-17 10:22:32 | INFO | sicar.breakouts |    Confianza: 62.24%
2025-10-17 10:22:32 | INFO | sicar.breakouts |    Precio: $1902.1320
2025-10-17 10:22:32 | INFO | sicar.breakouts |    Volumen: 2,340,489
2025-10-17 10:29:32 | INFO | sicar.breakouts | 📈 BREAKOUT DETECTADO: ADAUSDT
2025-10-17 10:29:32 | INFO | sicar.breakouts |    Tipo: N/A
2025-10-17 10:29:32 | INFO | sicar.breakouts |    Confianza: 63.10%
2025-10-17 10:29:32 | INFO | sicar.breakouts |    Precio: $2000.2943
2025-10-17 10:29:32 | INFO | sicar.breakouts |    Volumen: 2,668,732
2025-10-17 10:34:02 | INFO | sicar.breakouts | 📈 BREAKOUT DETECTADO: ETHUSDT
2025-10-17 10:34:02 | INFO | sicar.breakouts |    Tipo: N/A
2025-10-17 10:34:02 | INFO | sicar.breakouts |    Confianza: 55.67%
2025-10-17 10:34:02 | INFO | sicar.breakouts |    Precio: $1888.5327
2025-10-17 10:34:02 | INFO | sicar.breakouts |    Volumen: 2,603,715
2025-10-17 10:48:34 | INFO | sicar.breakouts | 📈 BREAKOUT DETECTADO: BTCUSDT
2025-10-17 10:48:34 | INFO | sicar.breakouts |    Tipo: N/A
2025-10-17 10:48:34 | INFO | sicar.breakouts |    Confianza: 67.31%
2025-10-17 10:48:34 | INFO | sicar.breakouts |    Precio: $2037.9729
2025-10-17 10:48:34 | INFO | sicar.breakouts |    Volumen: 2,391,468
2025-10-17 10:55:34 | INFO | sicar.breakouts | 📈 BREAKOUT DETECTADO: ETHUSDT
2025-10-17 10:55:34 | INFO | sicar.breakouts |    Tipo: N/A
2025-10-17 10:55:34 | INFO | sicar.breakouts |    Confianza: 51.63%
2025-10-17 10:55:34 | INFO | sicar.breakouts |    Precio: $1891.6886
2025-10-17 10:55:34 | INFO | sicar.breakouts |    Volumen: 2,900,848
2025-10-17 10:55:34 | INFO | sicar.breakouts | 📈 BREAKOUT DETECTADO: BTCUSDT
2025-10-17 10:55:34 | INFO | sicar.breakouts |    Tipo: N/A
2025-10-17 10:55:34 | INFO | sicar.breakouts |    Confianza: 52.17%
2025-10-17 10:55:34 | INFO | sicar.breakouts |    Precio: $2018.5758
2025-10-17 10:55:34 | INFO | sicar.breakouts |    Volumen: 2,922,135
2025-10-17 10:55:34 | INFO | sicar.breakouts | 📈 BREAKOUT DETECTADO: ADAUSDT
2025-10-17 10:55:34 | INFO | sicar.breakouts |    Tipo: N/A
2025-10-17 10:55:34 | INFO | sicar.breakouts |    Confianza: 52.60%
2025-10-17 10:55:34 | INFO | sicar.breakouts |    Precio: $1974.4248
2025-10-17 10:55:34 | INFO | sicar.breakouts |    Volumen: 2,148,581
2025-10-17 11:00:04 | INFO | sicar.breakouts | 📈 BREAKOUT DETECTADO: BTCUSDT
2025-10-17 11:00:04 | INFO | sicar.breakouts |    Tipo: N/A
2025-10-17 11:00:04 | INFO | sicar.breakouts |    Confianza: 50.87%
2025-10-17 11:00:04 | INFO | sicar.breakouts |    Precio: $1996.9953
2025-10-17 11:00:04 | INFO | sicar.breakouts |    Volumen: 2,854,115
2025-10-17 11:09:35 | INFO | sicar.breakouts | 📈 BREAKOUT DETECTADO: BTCUSDT
2025-10-17 11:09:35 | INFO | sicar.breakouts |    Tipo: N/A
2025-10-17 11:09:35 | INFO | sicar.breakouts |    Confianza: 67.98%
2025-10-17 11:09:35 | INFO | sicar.breakouts |    Precio: $1974.2386
2025-10-17 11:09:35 | INFO | sicar.breakouts |    Volumen: 2,908,957
2025-10-17 11:20:05 | INFO | sicar.breakouts | 📈 BREAKOUT DETECTADO: ETHUSDT
2025-10-17 11:20:05 | INFO | sicar.breakouts |    Tipo: N/A
2025-10-17 11:20:05 | INFO | sicar.breakouts |    Confianza: 55.23%
2025-10-17 11:20:05 | INFO | sicar.breakouts |    Precio: $1862.6600
2025-10-17 11:20:05 | INFO | sicar.breakouts |    Volumen: 2,960,730
2025-10-17 11:26:05 | INFO | sicar.breakouts | 📈 BREAKOUT DETECTADO: BTCUSDT
2025-10-17 11:26:05 | INFO | sicar.breakouts |    Tipo: N/A
2025-10-17 11:26:05 | INFO | sicar.breakouts |    Confianza: 53.68%
2025-10-17 11:26:05 | INFO | sicar.breakouts |    Precio: $1965.3076
2025-10-17 11:26:05 | INFO | sicar.breakouts |    Volumen: 2,873,993
2025-10-17 11:28:06 | INFO | sicar.breakouts | 📈 BREAKOUT DETECTADO: BTCUSDT
2025-10-17 11:28:06 | INFO | sicar.breakouts |    Tipo: N/A
2025-10-17 11:28:06 | INFO | sicar.breakouts |    Confianza: 57.03%
2025-10-17 11:28:06 | INFO | sicar.breakouts |    Precio: $1953.6629
2025-10-17 11:28:06 | INFO | sicar.breakouts |    Volumen: 2,443,903
2025-10-17 11:35:06 | INFO | sicar.breakouts | 📈 BREAKOUT DETECTADO: ETHUSDT
2025-10-17 11:35:06 | INFO | sicar.breakouts |    Tipo: N/A
2025-10-17 11:35:06 | INFO | sicar.breakouts |    Confianza: 65.12%
2025-10-17 11:35:06 | INFO | sicar.breakouts |    Precio: $1855.9277
2025-10-17 11:35:06 | INFO | sicar.breakouts |    Volumen: 2,734,570
2025-10-17 11:43:37 | INFO | sicar.breakouts | 📈 BREAKOUT DETECTADO: ADAUSDT
2025-10-17 11:43:37 | INFO | sicar.breakouts |    Tipo: N/A
2025-10-17 11:43:37 | INFO | sicar.breakouts |    Confianza: 76.84%
2025-10-17 11:43:37 | INFO | sicar.breakouts |    Precio: $1968.2689
2025-10-17 11:43:37 | INFO | sicar.breakouts |    Volumen: 2,862,607
2025-10-17 11:50:37 | INFO | sicar.breakouts | 📈 BREAKOUT DETECTADO: ETHUSDT
2025-10-17 11:50:37 | INFO | sicar.breakouts |    Tipo: N/A
2025-10-17 11:50:37 | INFO | sicar.breakouts |    Confianza: 57.84%
2025-10-17 11:50:37 | INFO | sicar.breakouts |    Precio: $1914.5687
2025-10-17 11:50:37 | INFO | sicar.breakouts |    Volumen: 2,962,155
2025-10-17 12:09:08 | INFO | sicar.breakouts | 📈 BREAKOUT DETECTADO: ETHUSDT
2025-10-17 12:09:08 | INFO | sicar.breakouts |    Tipo: N/A
2025-10-17 12:09:08 | INFO | sicar.breakouts |    Confianza: 52.71%
2025-10-17 12:09:08 | INFO | sicar.breakouts |    Precio: $1907.3034
2025-10-17 12:09:08 | INFO | sicar.breakouts |    Volumen: 2,567,921
2025-10-17 12:11:08 | INFO | sicar.breakouts | 📈 BREAKOUT DETECTADO: BTCUSDT
2025-10-17 12:11:08 | INFO | sicar.breakouts |    Tipo: N/A
2025-10-17 12:11:08 | INFO | sicar.breakouts |    Confianza: 54.94%
2025-10-17 12:11:08 | INFO | sicar.breakouts |    Precio: $1971.0114
2025-10-17 12:11:08 | INFO | sicar.breakouts |    Volumen: 2,838,465
2025-10-17 12:21:08 | INFO | sicar.breakouts | 📈 BREAKOUT DETECTADO: BTCUSDT
2025-10-17 12:21:08 | INFO | sicar.breakouts |    Tipo: N/A
2025-10-17 12:21:08 | INFO | sicar.breakouts |    Confianza: 54.87%
