2025-10-18 12:45:52,249 - INFO - No previous state found, starting fresh
2025-10-18 12:45:52,250 - INFO - Starting trading session - Duration: 48h, Capital: $200.00
2025-10-18 12:45:52,265 - ERROR - Error processing BTCUSDT: operands could not be broadcast together with shapes (19,) (20,) 
2025-10-18 12:45:52,268 - ERROR - Error processing ETHUSDT: operands could not be broadcast together with shapes (19,) (20,) 
2025-10-18 12:45:52,271 - ERROR - Error processing ADAUSDT: operands could not be broadcast together with shapes (19,) (20,) 
2025-10-18 12:45:52,275 - ERROR - Error processing DOTUSDT: operands could not be broadcast together with shapes (19,) (20,) 
2025-10-18 12:45:52,381 - ERROR - Error processing BTCUSDT: operands could not be broadcast together with shapes (19,) (20,) 
2025-10-18 12:45:52,387 - ERROR - Error processing ETHUSDT: operands could not be broadcast together with shapes (19,) (20,) 
2025-10-18 12:45:52,390 - ERROR - Error processing ADAUSDT: operands could not be broadcast together with shapes (19,) (20,) 
2025-10-18 12:45:52,395 - ERROR - Error processing DOTUSDT: operands could not be broadcast together with shapes (19,) (20,) 
2025-10-18 12:45:52,499 - ERROR - Error processing BTCUSDT: operands could not be broadcast together with shapes (19,) (20,) 
2025-10-18 12:45:52,503 - ERROR - Error processing ETHUSDT: operands could not be broadcast together with shapes (19,) (20,) 
2025-10-18 12:45:52,505 - ERROR - Error processing ADAUSDT: operands could not be broadcast together with shapes (19,) (20,) 
2025-10-18 12:45:52,509 - ERROR - Error processing DOTUSDT: operands could not be broadcast together with shapes (19,) (20,) 
2025-10-18 12:45:52,612 - ERROR - Error processing BTCUSDT: operands could not be broadcast together with shapes (19,) (20,) 
2025-10-18 12:45:52,617 - ERROR - Error processing ETHUSDT: operands could not be broadcast together with shapes (19,) (20,) 
2025-10-18 12:45:52,620 - ERROR - Error processing ADAUSDT: operands could not be broadcast together with shapes (19,) (20,) 
2025-10-18 12:45:52,624 - ERROR - Error processing DOTUSDT: operands could not be broadcast together with shapes (19,) (20,) 
2025-10-18 12:45:52,729 - ERROR - Error processing BTCUSDT: operands could not be broadcast together with shapes (19,) (20,) 
2025-10-18 12:45:52,732 - ERROR - Error processing ETHUSDT: operands could not be broadcast together with shapes (19,) (20,) 
2025-10-18 12:45:52,736 - ERROR - Error processing ADAUSDT: operands could not be broadcast together with shapes (19,) (20,) 
